タイムスタンプ,受付,国籍※国籍が分かる場合「その他」に国名を記入,時間帯,目的,人数,性別,年齢,問い合わせ内容,Komatsu九館内の案内,交通,目的地※主な所を一ヶ所,周辺店舗、飲食店※複数可,観光案内,パンフレットお渡し,物産,宿泊,イベント,その他（落とし物、ATM、公衆電話、授乳室など）,問い合わせ内容/回答
2025/03/12,窓口,日本,９時台,観光,個人,男性,40代から50代,交通,,バス,小松空港,,,,,,,,
2025/03/12,窓口,日本,９時台,観光,5人以下,男性,20代から30代,交通,,バス,小松空港,,,,,,,,
2025/03/12,窓口,日本,９時台,ビジネス,個人,男性,40代から50代,物産,,,,,,,取扱いのないもの（金沢土産、栗蒸し羊羹等）,,,,ヘアトニック類はどこで買えるかとのお尋ねがあり、コンビニをご案内しましたが無かったとおっしゃっていました。当店ではお取り扱いが無い事をお伝えしました
2025/03/12,電話,日本,10時台,市民利用,個人,女性,20代から30代,イベント,,,,,,,,,その他,,コナンミステリーツアーのデジタルスタンプラリーは3つ集めるとどうなるかとのお電話があり、ノベルティのカードをお渡ししますとお答えし、当たりが入っていると商品応募出来ますとお伝えしました。
2025/03/12,窓口,日本,12時台,観光,個人,男性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/03/12,窓口,日本,14時台,観光,5人以下,男性,60代以上,その他,,,,,,,,,,その他,駅南口で建設中のビルは何かとのお尋ねがあり、北陸電力さん中心の複合ビルで、小松大学のキャンパスやホテルなどが入るとお答え。また、ドラッグストアアオキの横にはドーミーインが建設中ですとお答えしました。
2025/03/12,メール、FAX,欧米,11時台,観光,個人,男性,40代から50代,宿泊,,,,,,,,変なホテル,,,テスト
2025/03/13,電話,日本,14時台,市民利用,個人,男性,20代から30代,Komatsu九館内,Komatsu九館内の案内 *　その他,,,,,,,,,,問い合わせ内容/回答
2025/03/14,電話,韓国,12時台,ビジネス,個人,女性,20代から30代,イベント,,,,,,,,,ＪＣ,,
2025/03/14,窓口,1.日本,16時台,ビジネス,個人,女性,20代から30代,観光案内,,,,,"ハニベ巌窟院, 木場潟公園, こまつの杜","じゃらん, 個別のパンフレット",,,,,
2025/03/24,窓口,1.日本,11時台,観光,個人,男性,学生,Komatsu九館内,お手洗い,,,,,,,,,,
2025/03/24,電話,1.日本,12時台,ビジネス,個人,男性,40代から50代,交通,,バス,小松空港,,,,,,,,
2025/03/27,窓口,1.日本,08時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/03/27,窓口,1.日本,08時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/03/27,窓口,1.日本,11時台,観光,2〜5人,女性,40代から50代,周辺店舗、飲食店,,,,"ランチ, 小松うどん、塩焼きそば",,,,,,,勝っちゃんをご案内した。
2025/03/27,窓口,3.欧米,11時台,観光,個人,男性,40代から50代,交通,,バス,名古屋,,,,,,,,
2025/03/27,窓口,1.日本,10時台,市民利用,個人,男性,60代以上,交通,,シェアサイクル,サイクルポート,,,,,,,,
2025/03/27,窓口,3.欧米,11時台,観光,2〜5人,男女,60代以上,観光案内,,,,,那谷寺,個別のパンフレット,,,,,イギリスよりお越しのご年配夫婦、自然が楽しめる場所、ウォーキング/ハイキングができる場所、また荒俣峡までの交通アクセスを教えて欲しいとのこと。那谷寺、滝ヶ原をご案内、全てタクシーでのご移動をご提案しました。(廣瀬)
2025/03/27,窓口,1.日本,12時台,市民利用,2〜5人,女性,40代から50代,交通,,バス,イオンモール,,,,,,,,シャトルバス乗り場をご案内しました。(中出)
2025/03/27,窓口,1.日本,11時台,観光,個人,男性,60代以上,交通,,シェアサイクル,日本自動車博物館,,,,,,,,自動車博物館までのアクセスで1番安くて便利な手段は何か？お尋ねでした。バスと徒歩の利用、電車で粟津駅まで行きそこからタクシーもしくはシェアサイクルを利用する手段をご提案。電車にも乗ってみたいのでとシェアサイクルを利用されるようでした。(中出)
2025/03/27,窓口,2.アジア,14時台,観光,個人,女性,40代から50代,交通,,バス,小松空港,,,,,,,,
2025/03/27,窓口,1.日本,14時台,市民利用,個人,女性,40代から50代,物産,,,,,,,お菓子,,,,ポムポムプリンコラボの羊羹はあるかとのお問い合わせ。松葉屋をご案内しました。（田中）
2025/03/27,窓口,1.日本,17時台,観光,個人,女性,40代から50代,交通,,バス,イオンモール,,,,,,,,オレンジこまちをご案内しました。(中出)
2025/03/28,窓口,1.日本,10時台,観光,2〜5人,男女,60代以上,物産,,,,,,,取扱いのないもの（金沢土産、栗蒸し羊羹等）,,,,長沖のカニの甲羅揚げをお探しで、空港にございますとお答え。今から向かわれるそうでしたので、ご案内しました。(北村)
2025/03/28,窓口,1.日本,14時台,観光,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/03/28,窓口,1.日本,14時台,観光,個人,男性,40代から50代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/03/28,メール、FAX,1.日本,13時台,観光,個人,男女,学生,周辺店舗、飲食店,,,,テスト,,,,,,,
2025/03/29,窓口,1.日本,09時台,観光,個人,女性,20代から30代,交通,,バス,いしかわ動物園,,,,,,,,いしかわ動物園までのアクセス案内。(中出)
2025/03/29,窓口,1.日本,10時台,観光,個人,女性,60代以上,観光案内,,,,,ゆのくにの森,個別のパンフレット,,,,,金沢へ行く前に小松で観光のお客様。ゆのくにの森はどうか？と尋ねられ、時間もある様でしたのでおすすめし、アクセス案内をしました。(中出)
2025/03/29,窓口,1.日本,10時台,観光,個人,女性,60代以上,周辺店舗、飲食店,,,,日帰り温泉,,,,,,,周辺の日帰り温泉について。さくら湯、アパホテル小松グランドなどをご紹介しました。(中出)
2025/03/29,窓口,1.日本,10時台,観光,個人,女性,40代から50代,交通,,バス,菟橋神社,,,,,,,,菟橋神社までのバスでのアクセス案内。(中出)
2025/03/29,窓口,1.日本,11時台,観光,個人,男性,40代から50代,観光案内,,,,,松井秀喜ベースボールミュージアム,見て歩きマップ,,,,,松井秀喜ベースボールミュージアムへのアクセス案内と周辺観光案内。(中出)
2025/03/29,窓口,1.日本,13時台,観光,個人,男性,60代以上,交通,,バス,那谷寺,,,,,,,,那谷寺までのアクセス案内。(中出)
2025/03/29,窓口,1.日本,13時台,観光,個人,男性,60代以上,交通,,バス,イオンモール新小松,,,,,,,,アクセス案内。(中出)
2025/03/29,窓口,1.日本,15時台,観光,個人,男性,40代から50代,宿泊,,,,,,,,周辺ホテル,,,本日泊まれる宿はあるか？お尋ねで、周辺宿泊施設の連絡先一覧をお渡ししました。(中出)
